ITEM,EMISSIONS_FACTOR
lanier pro c7100 pro80,1949.517
ricoh pro c7110 pro80,2074.809
savin pro c7110 pro80,1891.112
lanier pro c7110 pro80,1655.612
ricoh pro c7110s pro80,355.113
savin pro c7110s pro80,1604.096
lanier pro c7110s pro80,2437.391
ricoh pro c7100 qx100,2508.378
savin pro c7100 qx100,2192.777
lanier pro c7100 qx100,83.901
ricoh pro c7110 qx100,337.533
savin pro c7110 qx100,1805.727
lanier pro c7110 qx100,2062.560
ricoh pro c7110s qx100,1175.623
savin pro c7110s qx100,556.199
lanier pro c7110s qx100,2629.602
ricoh mp c2011sp,87.149
savin pro c9100 pro80,4095.915
lanier pro c9100 pro80,108.889
ricoh pro c9100 qx100,1208.271
savin pro c9100 qx100,158.092
lanier pro c9100 qx100,4269.027
ricoh pro c9110 pro80,4031.926
savin pro c9110 pro 80,1537.488
lanier pro c9110 pro80,1752.158
ricoh pro c9110 qx100,584.576
savin pro c9110 qx100,4112.284
lanier pro c9110 qx100,42.554
ricoh mp c306zspf,149.290
ricoh sp c440dn,185.041
ricoh pro 8110e,29.693
ricoh pro 8120e,975.889
ricoh mp 2554sp te,111.164
ricoh bizhub 808,3.578
ricoh bizhub 958,345.328
ricoh mp c3003sp,395.441
ricoh mp c3503sp,384.088
ricoh mp c4503sp,226.506
ricoh mp c5503sp,435.959
ricoh mp c6003sp,283.453
ricoh mp c406zspf,9.414
ricoh sp c435dn,239.172
ricoh pro c7100 with r-60a,396.382
ricoh pro c7110 with r-60a,1760.319
ricoh pro c7100s with r-60a,2332.786
ricoh pro c7110s with r-60a,390.377
ricoh pro c7100x with r-60a,996.711
ricoh pro c7110x with r-60a,1030.207
ricoh pro c7100sx with r-60a,390.135
ricoh pro c7110sx with r-60a,832.252
ricoh pro c9100 with r-60,214.447
ricoh pro c9110 with r-60,29.784
ricoh mp c3004sp,64.096
ricoh mp c3004spg,191.706
ricoh mp c3004sp te,32.904
ricoh mp c3504sp,383.633
ricoh mp c3504spg,255.043
ricoh mp c3504sp te,232.226
ricoh mp c4504sp,125.560
ricoh mp c4504spg,93.269
ricoh mp c4504sp te,397.333
ricoh mp c6004sp,4.020
ricoh mp c6004spg,22.220
ricoh mp 6004sp te,491.921
ricoh mp 305spf,28.803
ricoh sp c340dn,135.282
ricoh sp c342dn,140.756
ricoh mp c2004sp,173.156
ricoh mp c2504sp,380.680
ricoh mp 6503sp,369.402
ricoh mp 7503sp,721.088
ricoh spc840dn,112.057
ricoh sp c842dn,65.841
ricoh mp c6503sp,605.161
ricoh mp c8003sp,568.988
ricoh pro 8210,1704.666
ricoh pro 8220,619.542
ricoh pro 8200s,905.533
ricoh pro 8210s,1480.962
ricoh pro 8220s,226.477
ricoh mp c307spf,162.862
ricoh mp c407spf,252.855
ricoh pro c5200s,303.064
ricoh pro c5210s,928.507
ricoh pro c7100 with r-61a,1161.535
ricoh pro c7110 with r-61a,2055.125
ricoh pro c7100x with r-61a,1930.477
ricoh pro c7110x with r-61a,365.954
ricoh pro c7100s with r-61a,592.377
ricoh pro c7110s with r-61a,1237.857
ricoh pro c7100sx with r-61a,317.107
ricoh pro c7110sx with r-61a,481.576
ricoh pro c9100 with r-61,3014.445
ricoh mp 2555sp,264.881
ricoh mp 3055sp,248.326
ricoh mp 3555sp,90.179
ricoh mp 4055sp,8.756
ricoh mp 5055sp,36.224
ricoh mp 6055sp,248.504
ricoh mp 2555spg,75.966
ricoh mp 3055spg,152.260
ricoh mp 3555spg,106.060
ricoh mp 4055spg,314.977
ricoh mp 5055spg,250.699
ricoh mp 6055spg,50.294
ricoh mp c2504exsp,245.856
ricoh mp c3004exsp,417.837
ricoh mp c3504exsp,47.657
ricoh mp c4504exsp,183.175
ricoh mp c6004exsp,412.771
ricoh mp c2504exspg,427.804
ricoh mp c3004exspg,235.973
ricoh mp c3504exspg,339.032
ricoh mp c4504exspg,231.084
ricoh mp c6004exspg,95.739
ricoh mp c3004exsp te,93.785
ricoh mp c3504exsp te,271.981
ricoh mp c4504exsp te,271.596
ricoh mp c6004exsp te,45.573
ricoh mp c307spfg,162.883
ricoh mp c407spfg,173.031
ricoh sp 8400dn,251.689
ricoh sp c352dn,89.637
ricoh mp c407sp,66.685
ricoh pro c9200 with color controller e-46,2247.565
ricoh pro c9200 with color controller e-85,2029.827
ricoh pro c9200 with totalflow print server r-62,1536.022
ricoh pro c9210 with color controller e-45,2737.941
ricoh pro c9210 with color controller e-85,3757.097
ricoh pro c9210 with totalflow print server r-62,4867.144
ricoh pro c7200,2355.153
ricoh pro c7200 with color controller e-85a,2297.068
ricoh pro c7200 with color controller e-45a,798.162
ricoh pro c7210,1311.193
ricoh pro c7210 with totalflow print server r-62a,1061.199
ricoh pro c7210 with color controller e-85a,1274.659
ricoh pro c7210 with color controller e-45a,2305.187
ricoh pro c7200e with color controller e-45a,1962.059
ricoh pro c7200x with color controller e-85a,2393.495
ricoh pro c7200x with color controller e-45a,2141.502
ricoh pro c7210x,989.339
ricoh pro c7210x with totalflow print server r-62a,2618.780
ricoh pro c7210x with color controller e-85a,2445.701
ricoh pro c7210x with color controller e-45a,844.141
ricoh pro c7200s,1613.670
ricoh pro c7200s with color controller e-85a,23.465
ricoh pro c7200s with color controller e-45a,174.394
ricoh pro c7210s,1077.769
ricoh pro c7210s with totalflow print server r-62a,1110.144
ricoh pro c7210s with color controller e-85a,2598.292
ricoh pro c7210s with color controller e-45a,344.531
ricoh pro c7210sx,1959.760
ricoh pro c7210sx with totalflow print server r-62a,2057.026
ricoh pro c7210sx with color controller e-85a,2792.845
ricoh pro c7210sx with color controller e-45a,2204.901
ricoh pro c7200sl,231.728
ricoh mp c501sp,33.008
ricoh sp c360dnw,52.884
ricoh sp c360sfn,211.030
ricoh sp c361sfn,217.920
ricoh im c2000,109.521
ricoh im c3000,176.820
ricoh im c6000,64.214
ricoh pro 8300s,948.238
ricoh pro c751ex,3103.430
ricoh aficio sp c320dn,72.943
ricoh aficio mp 9002sp,313.368
ricoh aficio sp c831dn,108.189
ricoh aficio mp 5002sp,272.210
ricoh aficio mp 5002spg,562.637
ricoh aficio mp 4002sp,122.269
ricoh aficio mp 4002spg,176.199
ricoh aficio mp 6002sp,117.931
ricoh aficio mp 7502sp,690.620
ricoh aficio sp c730dn,123.768
ricoh mp c6502sp,1083.694
ricoh mp c8002sp,185.281
ricoh pro 8110se,958.028
ricoh pro 8120se,658.712
epson wf-c20590,667.559
epson wf-c17590,183.083
sharp mx-m7570,272.470
sharp mx-3071,442.893
sharp mx-m3071,181.370
sharp mx-3571,167.552
sharp mx-m3571,362.524
sharp mx-m4071,210.970
sharp mx-4071,358.888
sharp mx-2651,25.547
sharp mx-6071,65.620
sharp mx-5071,128.261
sharp mx-m6071,325.654
sharp mx-m5071,95.387
sharp mx-m2651,36.242
toshiba e studio 857,553.718
toshiba e studio 757,471.159
toshiba e studio 657,407.609
toshiba e studio 557,134.523
toshiba e studio 507,240.345
toshiba e studio 457,214.352
toshiba e studio 357,26.878
toshiba e studio 307,229.849
toshiba e studio 207l,270.914
toshiba mfp e-studio5005ac,89.026
toshiba mfp e-studio4505ac,366.962
toshiba mfp e-studio3505ac,71.956
toshiba mfp e-studio3005ac,54.497
toshiba mfp e-studio2505ac,486.320
toshiba mfp e-studio2500ac,470.045
toshiba mfp e-studio2000ac,84.718
toshiba mfp e-studio2010ac,75.900
toshiba mfp e-studio2510ac,208.134
toshiba mfp e-studio5008a,89.919
toshiba mfp e-studio4508a,45.668
toshiba mfp e-studio4508lp,439.027
toshiba mfp e-studio3508a,259.247
toshiba mfp e-studio3508lp,90.270
toshiba mfp e-studio3008a,204.752
toshiba mfp e-studio2508a,42.190
toshiba mfp e-studio8508a,131.360
toshiba mfp e-studio2008a,95.822
toshiba mfp e-studio5508a,378.920
toshiba mfp e-studio7506ac(tandem lcf),531.068
toshiba mfp e-studio7506ac(4 drawer),424.127
toshiba mfp e-studio6506ac(tandem lcf),585.065
toshiba mfp e-studio6506ac(4 drawer),154.197
toshiba mfp e-studio5506ac(tandem lcf),488.114
toshiba mfp e-studio5506ac(4 drawer),23.573
toshiba e studio 257,156.737
toshiba mfp e-studio2809a,12.305
toshiba mfp e-studio2309a,81.594
toshiba mfp e-studio2803am,103.061
toshiba mfp e-studio2802af,80.015
toshiba mfp e-studio2802am,3.517
toshiba mfp e-studio7508a,298.560
toshiba mfp e-studio6508a,482.972
toshiba mfp e-studio2515ac,412.970
toshiba mfp e-studio3015ac,330.072
toshiba mfp e-studio3515ac,148.417
toshiba mfp e-studio4515ac,27.825
toshiba mfp e-studio5015ac,18.300
toshiba mfp e-studio2018a,92.594
toshiba mfp e-studio2518a,103.594
toshiba mfp e-studio3018a,105.142
toshiba mfp e-studio3518a,56.034
toshiba mfp e-studio4518a,33.600
toshiba mfp e-studio5018a,333.754
toshiba mfp e-studio5516ac(t-lcf),678.280
toshiba mfp e-studio6516ac(t-lcf),29.538
toshiba mfp e-studio7516ac(t-lcf),1096.045
toshiba mfp e-studio5516ac(4_drawer),438.470
toshiba mfp e-studio6516ac(4_drawer),557.170
toshiba mfp e-studio7516ac(4_drawer),925.108
toshiba mfp e-studio5518a,912.669
toshiba mfp e-studio6518a,792.916
toshiba mfp e-studio7518a,279.811
toshiba mfp e-studio8518a,296.435
toshiba mfp e-studio2823am,77.160
toshiba mfp e-studio2329a,115.511
toshiba mfp e-studio2829a,51.314
toshiba mfp e-studio2822am,111.988
toshiba mfp e-studio2822af,68.453
"Copper LAN Cable, Actassi, S/FTP, 4P, Cat7, Dca, LSZH, 500 m",0.378
VW3E5001 SERCOS III cable (3m),0.553
FIELD TERMINATION MALE PLUG RJ45,0.883
Smart Patch Cords ranging from 10-50 ft,1.653
VW3E20 Feedback Cable (1m),0.576
Acti9 Smartlink Prefabricated cables,0.933
ILM62 Hybrid Cable (1m),4.983
VW3E Motor Cable,2.742
Lexcom / Infraplus CL-C5e Copper LAN Cable CAT.5e U/UTP 4P PVC (1m),2.297
Ethernet Cable,2.457
TCSECL1M1MxS2 ConneXium M12 to M12 Ethernet cable,2.905
TCSECL1M3MxS2 ConneXium Ethernet patch cords M12/RJ45,1.431
"Fibre LAN optic cables, loose tube",0.674
"Fibre LAN optic cables, tight buffered",0.564
Lexcom / Infraplus CL-C5e Copper LAN Cable CAT.5e U/UTP 4P LSZH,1.575
Lexcom / Infraplus CL-C5e Copper LAN Cable CAT.5e F/UTP 2 X 4P LSZH,2.251
Lexcom / Infraplus CL-MNC6 Copper LAN Cable CAT.6 U/FTP 4P LSZH,0.314
Lexcom / Infraplus CL-C6A Copper LAN Cable CAT.6A F/UTP 4P LSZH,0.482
Lexcom / Infraplus CL-MNC6 Copper LAN Cable CAT.6 U/FTP 2X4P LSZH,0.811
Lexcom / Infraplus CL-C6 Copper LAN Cable CAT.6 U/UTP 4P LSZH,0.176
Lexcom / Infraplus CL-C6 Copper LAN Cable CAT.6 U/UTP 2X4P LSZH,0.321
Lexcom / Infraplus CL-C6 Copper LAN Cable CAT.6 U/UTP 4P PVC,2.032
Lexcom / Infraplus CL-MNC6A Copper LAN Cable CAT.6A F/UTP 4P LSZH,0.466
Lexcom / Infraplus CL-MNC6A Copper LAN Cable CAT.6A F/UTP 2X4P LSZH,1.733
Lexcom / Infraplus CL-C5e Copper LAN Cable CAT.5e F/UTP 4P PVC,1.804
Lexcom / Infraplus CL-C6A Copper LAN Cable CAT.6A F/UTP 2X4P LSZH,1.738
Lexcom / Infraplus CL-MNC6A Copper LAN Cable CAT.6A U/FTP 4P LSZH,0.296
Lexcom / Infraplus CL-MNC6A Copper LAN Cable CAT.6A U/FTP 2X4P LSZH,2.372
Lexcom / Infraplus CL-C5e Copper LAN Cable CAT.5e F/UTP 4P LSZH,1.073
Lexcom / Infraplus CL-C5e Copper LAN Cable CAT.5e F/UTP 2X4P LSZH,0.204
Lexcom / Infraplus CL-MNC7A Copper LAN Cable CAT.7A S/FTP 4P LSZH,0.447
Lexcom / Infraplus CL-C6 Copper LAN Cable CAT.6 F/UTP 4P LSZH,0.311
Lexcom / Infraplus CL-C6 Copper LAN Cable CAT.6 SF/UTP 4P LSZH,0.737
Lexcom / Infraplus CL-C6 Copper LAN Cable CAT.6 F/UTP 2X4P LSZH,1.740
Lexcom / Infraplus CL-MNC6A Copper LAN Cable CAT.6A F/FTP 4P LSZH,0.929
Lexcom / Infraplus CL-MNC6A Copper LAN Cable CAT.6A F/FTP 2X4P LSZH,2.229
Lexcom / Infraplus CL-MNC7A Copper LAN Cable CAT.7 A F/FTP 4P LSZH,0.900
Lexcom / Infraplus CL-MNC7A Copper LAN Cable CAT.7A S/FTP 4P LSFRZH,1.704
Kraft Lignin Adhesive,6.906
Lexcom / Infraplus CL-MNC7A Copper LAN Cable CAT.7A S/FTP 2X4P LSZH,0.191
Lexcom / InfraplusCL-MNC7A Copper LAN Cable CAT.7A S/FTP 2X4P LSFRZH,1.982
Encoder Cable,5.515
HDIO Power Cable - RH100DZ,0.946
Power Cable - VW3M5101R100,1.204
"Actassi FL-C Fibre LAN optic patchcords, OM3 LC duplex/LC duplex",1.416
Label Maker,188.040
Automation Server S-Cable (1.5m),0.869
AS-Interface Cable,1.386
Laboratory Conveyor Belt,158.642
Serial cables SR2CBL,0.608
Communication Cable for Automation,1.272
USB CABLE SR2USB01,2.435
Copper LAN Cable Cat.7A LSZH,3.153
C2G HDMI Cables (Active),2.229
C2G DisplayPort to HD Adapter Cables (Active),2.908
"C2G DisplayPort to VGA Adapter Cables 
 

 (Active)",2.059
"C2G DisplayPort to DVI Adapter Cables 
 

 (Active)",2.237
C2G DisplayPort to DVI Adapter Converter,0.861
C2G DisplayPort to VGA Adapter Converter,1.499
C2G DisplayPort to HDMI Adapter Converter,0.475
C2G HDMI to VGA Adapter Converter,2.171
C2G UTP Patch Cords,0.905
USB Adapter Cord,0.499
Shielded (STP) Ethernet Network Patch Cable,0.950
Ladder,#DIV/0!
Laminator,19.827
lamp,#DIV/0!
large tie-top recycled refuse sack,0.844
laundry liquid - 1.5 l,1.653
lavender - 1.5l liquid,1.624
Epson EB-2265U WUXGA 3LCD Projector,#DIV/0!
lavender - 10 pack,1.347
lavender - 2.4kg,0.763
lavender - 20 pack,1.570
Keyboard,8.180
Wireless touch keyboard,6.622
lavender - 24 pack,0.819
lavender - 3.36 kg,1.628
lavender - 4.0 kg,0.211
Samsung Galaxy Note 9,73.643
lavender - 48 pack,1.149
Custom Desktop Computer for Tech Consumer Team,16.487
lavender - 730ml conc.,1.705
lavender - 800g,0.220
lemon (4x125g),2.080
lilac & silk creme bath 1 litre,9.409
"Lorell 5/16"" Steel Thumb Tacks",0.481
Magnet,5.080
magnolia & silk creme bath 1 litre,47.050
magnolia (4x125g),0.579
Meeting Room Table,122.039
Mesh Products,#DIV/0!
moisture care (100g),0.389
moisture enriching original roll on 50 ml,1.823
Mosquito spray,#DIV/0!
naturally compostable sacks,2.497
Mousepad,1.662
non-bio - 1 kg powder,0.780
Laptop Bag Lock,0.459
non-bio - 1.5 l liquid,1.289
non-bio - 10 pack,1.265
non-bio - 2.4kg,1.683
non-bio - 24 pack/900g,1.348
non-bio - 3.36 kg,1.632
non-bio - 4.0 kg,1.164
non-bio - 48 pack,1.029
non-bio - 800g,0.438
non-biological - 20 pack,2.249
Notice Board,3.778
NVIDIA DGX-1 with 8x Volta V100-32GB c/w 3-year support Server,1542.416
ocean - 2.4kg,2.550
ocean - 24 pack,1.089
ocean - 3.36kg,3.037
ocean - 4.0 kg,1.200
ocean - 48 pack,2.669
ocean - 800g,1.107
Office Chair,10.741
Office Table,16.523
Organosolv lignin Adhesive,10.983
Pallet Jacks,#DIV/0!
Pantry Bar Stool,17.164
Pantry table,22.797
Partitions,3.059
peach creme bath 1 litre,3.541
Pendaflex EZ Place Self-Adhesive Fasteners,1.822
Photo Frames,#DIV/0!
Pneumatic Conveyor,#DIV/0!
Poly urethane,1.484
Polyvinyl acetate,1.533
Projector,#DIV/0!
Pure Acrylate,4.098
pure soap (125g),1.916
pure soap (4x125g),0.056
Quayside Crane,6885.321
Rack,201.046
recycling bags,1.680
Residential Air Conditioner (Daikin),2047.294
Rolled Cage,#DIV/0!
Router,4.424
Rubbermaid Commercial Caution Wet Floor Safety Sign,1.875
Safco Boltless Steel Shelving,299.017
Safety Vest,7.602
"Samsung 860 2 pcs Pro Series 2.5"" 512GB and 3 pcs Evo Series 2.5"" 1TB SSD Drive",67.540
Scotch Non-Electric Laminator,17.211
sea minerals foam bath 1 litre,25.420
Service Carts,87.753
Shelf,99.964
Shopping Trolley,#DIV/0!
Shredder Machine,6.048
SoDIMM,3.224
Sofa/Couch,5.138
Soy Adhesive,4.208
Spiral Conveyor,#DIV/0!
Spotlight Presenter,6.349
SSD Drive,163.046
Stackable Chair,1.174
Staedtler Textsurfer Classic Highlighters - 1.5 Mm - Fluorescent Yellow - 1/EA,2.648
AeraMax 190 Air Purifier,7.503
AeraMax 290 Air Purifier,23.370
AeraMax 90 Air Purifier,2.221
Stamp Pad,#DIV/0!
Stapler,0.347
Steel pedestal,14.412
Step Ladders,#DIV/0!
Dymo XTL 500 Label Maker Kit,19.774
Brother PT-D450 Desktop Labelmaker,1.758
Brother PTD600 Desktop Labelmaker,4.742
Stools,8.566
Storex Mobile File Drawer,60.796
Strapping and Branding equipment,#DIV/0!
Canon LS154TG Handheld Calculator,0.495
Victor 1000 Mini Desktop Calculator,1.083
Texas Instruments TI-84 Plus CE Graphing Calculator,0.860
Merangue 12-Digit Desktop Calculator,5.432
Calculator,2.528
Stretch Wrap machines,#DIV/0!
Styrene Acrylate,2.356
Styrene Butadiene,0.618
summer fresh - 2.4kg,1.182
summer fresh - 24 pack,0.166
summer fresh - 3.36 kg,0.331
summer fresh - 4.0 kg,1.089
Staedtler Triplus Fineliner 334 - Extra Fine - 0.3 Mm - Red - 1/BX,1.315
Bostitch QuietSharp Exec Electric Pencil Sharpener,3.656
Integra Aluminum Pocket Pencil Sharpener,0.603
Bostitch Antimicrobial Manual Pencil Sharpener,1.080
summer fresh - 48 pack,0.314
Surgical Mask (Type II),1.288
Surgical Mask (Type IIR),0.442
Tannin Adhesive,2.145
Tape Dispenser,0.046
tesco kitchen towel,1.421
"Sealed Air Bubble Wrap Multi-purpose Material - 12"" (304.80 Mm) x 100 Ft (30480 Mm) - Clear - 1/CT",3.918
tesco recycled kitchen towel,1.746
tesco recycled toilet tissue,3.565
Laptop Bag,20.776
tesco toilet tissue (Blue),3.143
tesco toilet tissue (Magnolia),4.609
tesco toilet tissue (pink),1.497
tesco toilet tissue (white),1.878
tie-handle pedal bin liners,2.507
tie-handle swing bin liners,0.724
Toner Black Original,27.115
Toner Cartridge,33.980
Office Stationary,10.261
Stationary,12.587
Smartphone,4.278
Laptop,175.350
Towel,3.048
Truck Restraint,#DIV/0!
TSXCBY,0.465
TSXCDP,2.127
value (3x125g),0.197
USB Cable Adapter,1.008
value fabric conditioner,1.502
value foam bath 1 litre,0.356
value roll on deodorant 50 ml,0.497
Vertical Conveyor,#DIV/0!
VGA card,0.490
Vinylacetate Ethylene,1.927
Wall Fan,#DIV/0!
Wheel Chocks,#DIV/0!
HP C4127X,52.350
Whiteboard,1.896
Wifi Access Point,5.427
Wireless Mic,4.341
Macbook Charger,#DIV/0!
Woodfree paper (begasse pulp),1.768
Woodfree paper (deinked pulp),0.277
Woodfree paper (kenaf pulp),2.084
Woodfree Thermal and Fax Paper (wood pulp),1.107
Yard Ramps,#DIV/0!
YXC7V-R N2XS-Y 12/20 kV 1x150/25mm_ (1000m),4093.953
net thermal paper,1.746
co2 gas tank,2.128
Wypall *X Wiper,#DIV/0!
HDPE plastic bag,3.654
"Kitchen roll, 1-ply virgin pulp",2.976
PE plastic cling film,2.557
"Deli wrap, waxed",#DIV/0!
"PP plastic container, 2oz",1.695
"PP plastic container lid, 2oz",2.161
Hand sanitiser,#DIV/0!
Floor cleaner,#DIV/0!
Multipurpose cleaner,#DIV/0!
Surgical mask,14.877
PVC vinyl gloves,4.617
"PET plastic lid, large",0.273
"PET plastic bowl, large",4.433
"Fork, cornstarch, biodegradable",#DIV/0!
"Spoon, cornstarch, biodegradable",#DIV/0!
Bagasse bowl,0.971
Bagasse bowl lid,2.028
Thermal receipt paper,#DIV/0!
HDPE Die-Cut Bag with Oxium,1.363
"Table salt, fine",0.507
LDPE plastic bag,2.950
Wooden mop stick,#DIV/0!
Rubber gloves,#DIV/0!
Broom head,#DIV/0!
Bleach,#DIV/0!
Dish washing liquid,#DIV/0!
4 ply face mask,14.224
cling wrap,1.713
Trash Bag,0.781
PET bowl,1.931
Tetra Brik Aseptic Base (100 ml),1.536
Tetra Brik Aseptic Base (200 ml),0.314
Tetra Brik Aseptic Base (250 ml),1.957
Tetra Brik Aseptic Base (500 ml),0.755
Tetra Brik Aseptic Base (1000 ml),1.933
Tetra Brik Aseptic Base with ReCap3 (1000 ml),0.453
Tetra Brik Aseptic Base with plant-based plastic film (200 ml),2.271
Tetra Brik Aseptic Base with plant-based plastic film (250 ml),0.859
Tetra Brik Aseptic Base with plant-based plastic film (1000 ml),0.080
Tetra Brik Aseptic Edge (200 ml),1.912
Tetra Brik Aseptic Edge with HeliCap-23 (200 ml),1.896
Tetra Brik Aseptic Edge with plant-based HeliCap-23 (200 ml),0.779
Tetra Brik Aseptic Edge (250 ml),2.111
Tetra Brik Aseptic Edge with HeliCap-23 (250 ml),0.366
Tetra Brik Aseptic Edge with plant-based HeliCap-23 (250 ml),1.728
Tetra Brik Aseptic Edge with LightCap-30 (500 ml),1.604
Tetra Brik Aseptic Edge with LightCap-30-Air (500 ml),0.213
Tetra Brik Aseptic Edge with plant-based LightCap-30 (500 ml),0.039
Tetra Brik Aseptic Edge with WingCap-30 (500 ml),0.592
Tetra Brik Aseptic Edge with LightCap-30 (1000 ml),0.506
Tetra Brik Aseptic Edge with LightCap-30-Air (1000 ml),1.332
Tetra Brik Aseptic Edge with plant-based LightCap-30 (1000 ml),0.324
Tetra Brik Aseptic Edge with WingCap-30 (1000 ml),0.832
Tetra Brik Aseptic Edge with plant-based WingCap-30 (1000 ml),0.127
Tetra Brik Aseptic Edge with WingCap-30 (1500 ml),0.380
Tetra Brik Aseptic Edge with plant-based plastic film (200 ml),1.923
Tetra Brik Aseptic Edge with plant-based plastic film (250 ml),1.973
Tetra Brik Aseptic Edge with plant-based plastic film & HeliCap-23 (200 ml),0.751
Tetra Brik Aseptic Edge with plant-based plastic film & HeliCap-23 (250 ml),2.065
Tetra Brik Aseptic Edge with plant-based plastic film & LightCap-30-Air (500 ml),0.993
Tetra Brik Aseptic Edge with plant-based plastic film & WingCap-30 (500 ml),0.506
Tetra Brik Aseptic Edge with plant-based plastic film & LightCap-30 (1000 ml),0.677
Tetra Brik Aseptic Edge with plant-based plastic film & WingCap-30 (1500 ml),0.326
Tetra Brik Aseptic Mid (200 ml),2.355
Tetra Brik Aseptic Mid with plant-based plastic film (200 ml),1.053
Tetra Brik Aseptic Mid (1000 ml),0.356
Tetra Brik Aseptic Mid with LightCap-24 (1000 ml),0.300
